rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
54,FR,fr_zones_079,48.4049,6.5341,-0.1366,ws3,3,8760
55,FR,fr_zones_224,44.8016,6.5341,0.1355,ws,3,8760
56,FR,fr_zones_033,49.3057,1.2614,-0.1355,ws3,3,8760
57,FR,fr_zones_027,49.3057,-2.6932,-0.1354,ws3,3,8760
58,FR,fr_zones_073,48.4049,2.5795,-0.1348,ws3,3,8760
59,FR,fr_zones_050,48.8553,0.2727,-0.1346,ws3,3,8760
60,FR,fr_zones_028,49.3057,-2.0341,-0.1344,ws3,3,8760
61,FR,fr_zones_076,48.4049,4.5568,-0.1342,ws3,3,8760
62,FR,fr_zones_072,48.4049,1.9205,-0.1325,ws3,3,8760
63,FR,fr_zones_071,48.4049,1.2614,-0.1317,ws3,3,8760
64,FR,fr_zones_031,49.3057,-0.0568,-0.131,ws3,3,8760
65,FR,fr_zones_074,48.4049,3.2386,-0.1304,ws3,3,8760
66,FR,fr_zones_030,49.3057,-0.7159,-0.1283,ws3,3,8760
67,FR,fr_zones_095,47.9545,4.2273,-0.1282,ws3,3,8760
68,FR,fr_zones_049,48.8553,-0.3864,-0.1281,ws,3,8760
69,FR,fr_zones_238,44.3512,6.2045,-0.1277,ws,0,8760
70,FR,fr_zones_099,47.9545,6.8636,-0.127,ws3,3,8760
71,FR,fr_zones_048,48.8553,-1.0455,-0.1263,ws,3,8760
72,FR,fr_zones_026,49.3057,-3.3523,-0.1215,ws,3,8760
73,FR,fr_zones_070,48.4049,0.6023,-0.1206,ws3,3,8760
74,FR,fr_zones_096,47.9545,4.8864,-0.119,ws3,3,8760
75,FR,fr_zones_209,45.252,6.8636,-0.1188,ws,0,8760
76,FR,fr_zones_189,45.7025,5.875,0.1187,ws,2,8760
77,FR,fr_zones_025,49.3057,-4.0114,-0.1161,ws,3,8760
78,FR,fr_zones_046,48.8553,-2.3636,-0.116,ws3,3,8760
79,FR,fr_zones_090,47.9545,0.9318,-0.1149,ws3,3,8760
80,FR,fr_zones_208,45.252,6.2045,-0.1144,ws,0,8760
81,FR,fr_zones_068,48.4049,-0.7159,-0.1142,ws,3,8760
82,FR,fr_zones_097,47.9545,5.5455,-0.1124,ws,3,8760
83,FR,fr_zones_253,43.9008,6.5341,-0.1119,ws,0,8760
84,FR,fr_zones_250,43.9008,4.5568,0.1117,ws,0,8760
85,FR,fr_zones_091,47.9545,1.5909,-0.1086,ws3,3,8760
86,FR,fr_zones_092,47.9545,2.25,-0.1085,ws3,3,8760
87,FR,fr_zones_069,48.4049,-0.0568,-0.1083,ws3,3,8760
88,FR,fr_zones_093,47.9545,2.9091,-0.1049,ws3,3,8760
89,FR,fr_zones_114,47.5041,3.8977,-0.1048,ws3,3,8760
90,FR,fr_zones_207,45.252,5.5455,-0.1036,ws3,0,8760
91,FR,fr_zones_100,47.9545,7.5227,-0.1016,ws3,3,8760
92,FR,fr_zones_284,43.0,7.8523,0.1014,ws,3,8760
93,FR,fr_zones_044,48.8553,-3.6818,-0.1004,ws3,3,8760
94,FR,fr_zones_242,43.9008,-0.7159,0.1002,ws,0,8760
95,FR,fr_zones_024,49.3057,-4.6705,-0.0989,ws,3,8760
96,FR,fr_zones_089,47.9545,0.2727,-0.0977,ws3,3,8760
97,FR,fr_zones_094,47.9545,3.5682,-0.0977,ws3,3,8760
98,FR,fr_zones_115,47.5041,4.5568,-0.0974,ws3,3,8760
99,FR,fr_zones_257,43.4504,-0.3864,0.0971,ws,0,8760
100,FR,fr_zones_243,43.9008,-0.0568,0.0965,ws,0,8760
101,FR,fr_zones_228,44.3512,-0.3864,0.0964,ws,0,8760
102,FR,fr_zones_112,47.5041,2.5795,-0.0964,ws3,3,8760
103,FR,fr_zones_119,47.5041,7.1932,-0.0943,ws,3,8760
104,FR,fr_zones_043,48.8553,-4.3409,-0.0925,ws,3,8760
105,FR,fr_zones_198,45.252,-0.3864,0.0914,ws,0,8760
106,FR,fr_zones_154,46.6033,5.875,-0.0908,ws,0,8760
